0.000000, i_d, i_q, i_d_ref, i_q_ref
0.093930, -7, 28, 0, 0
0.094130, -12, 169, 0, 0
0.094330, 1, -26, 0, 0
0.094530, -1, 26, 0, 0
0.094730, 41, -19, 0, 0
0.094930, 11, -5, 0, 0
0.095130, 42, -32, 0, 0
0.095330, 31, -40, 0, 0
0.095530, -5, 2, 0, 0
0.095730, 0, 0, 0, 0
0.095930, -7, 28, 0, 0
0.096130, 59, -41, 0, 0
0.096330, -6, 15, 0, 0
0.096530, -1, 26, 0, 0
0.096730, -5, 2, 0, 0
0.096930, -7, 28, 0, 0
0.097130, -11, 80, 0, 0
0.097330, 5, -2, 0, 0
0.097530, -5, 2, 0, 0
0.097730, -35, 17, 0, 0
0.097930, 0, 0, 0, 0
0.098130, 0, 13, 0, 0
0.098330, 41, -19, 0, 0
0.098530, -7, 28, 0, 0
0.098730, 39, 5, 0, 0
0.098930, 41, -20, 0, 0
0.099130, -1, 13, 0, 0
0.099330, -7, 22, 0, 0
0.099530, -12, 18, 0, 0
0.099730, -1, 13, 0, 0
0.099930, -6, 15, 0, 0
0.000130, -7, 28, 0, 0
0.000330, 41, -19, 0, 0
0.000530, -5, 2, 0, 0
0.000730, -18, 21, 0, 0
0.000928, -1, 13, 0, 0
0.001130, 41, -19, 0, 0
0.001330, -4, -10, 0, 0
0.001530, 88, -42, 0, 0
0.001730, -1, 13, 0, 0
0.001930, 0, 0, 0, 0
0.002130, -1, 26, 0, 0
0.002330, -2, 39, 0, 0
0.002530, -20, 47, 0, 0
0.002730, 0, 13, 0, 0
0.002930, 0, -75, 0, 0
0.003130, 12, -18, 0, 0
0.003330, 16, 4, 0, 0
0.003530, 0, 13, 0, 0
0.003730, 12, -107, 0, 0
0.003930, 3, 23, 0, 0
0.004130, 9, 20, 0, 0
0.004330, 0, 0, 0, 0
0.004530, -1, 13, 0, 0
0.004730, -5, 2, 0, 0
0.004930, -7, 28, 0, 0
0.005130, 30, 110, 0, 0
0.005330, -6, 15, 0, 0
0.005530, 0, 0, 0, 0
0.005730, -1, 13, 0, 0
0.005930, -20, 40, 0, 0
0.006130, 1, -88, 0, 0
0.006328, -5, 2, 0, 0
0.006530, -13, 31, 0, 0
0.006730, 0, 0, 0, 0
0.006930, 11, -5, 0, 0
0.007130, 5, -2, 0, 0
0.007330, -20, 47, 0, 0
0.007530, -6, 15, 0, 0
0.007730, 0, 13, 0, 0
0.007930, -54, 51, 0, 0
0.008130, -5, 2, 0, 0
0.008330, -7, 15, 0, 0
0.008530, 55, -202, 0, 0
0.008730, -8, 28, 0, 0
0.008930, -18, 21, 0, 0
0.009130, 40, -6, 0, 0
0.009330, 2, -26, 0, 0
0.009530, 0, 0, 0, 0
0.009730, -6, 15, 0, 0
0.009930, 3, 23, 0, 0
0.010130, 0, 0, 0, 0
0.010330, 0, -13, 0, 0
0.010530, -1, 13, 0, 0
0.010730, -1, 13, 0, 0
0.010930, 0, 13, 0, 0
0.011130, -5, 2, 0, 0
0.011330, 4, 16, 0, 0
0.011528, 0, 0, 0, 0
0.011730, 9, 20, 0, 0
0.011930, 42, -32, 0, 0
0.012130, 6, -15, 0, 0
0.012330, -6, 15, 0, 0
0.012530, 0, 0, 0, 0
0.012728, -2, 26, 0, 0
0.012928, 0, 0, 0, 0
0.013130, 192, -127, 0, 0
0.013330, -1, 26, 0, 0
0.013530, -4, -10, 0, 0
0.013728, -18, 21, 0, 0
0.013930, 0, -13, 0, 0
0.014130, -6, 15, 0, 0
0.014330, -2, 26, 0, 0
0.014530, -13, 31, 0, 0
0.014730, -6, 15, 0, 0
0.014930, -5, 2, 0, 0
0.015130, 88, -41, 0, 0
0.015328, -47, 97, 0, 0
0.015530, -2, 26, 0, 0
0.015728, 1, -13, 0, 0
0.015930, -8, 35, 0, 0
0.016130, -6, 15, 0, 0
0.016328, -8, 28, 0, 0
0.016530, 6, -15, 0, 0
0.016730, -6, 15, 0, 0
0.016930, -13, 25, 0, 0
0.017130, -2, 26, 0, 0
0.017330, -11, 5, 0, 0
0.017530, 0, -13, 0, 0
